node,pr,auth,hub
146,0.00039423872913695534,6.932332748376773e-95,0.0
147,0.00032735658270826684,3.4259518038911625e-05,0.0
148,0.00039255190419840505,2.117006245843738e-95,0.0
149,0.00032312353923513953,6.131953178133922e-07,0.0
150,0.00038541770185793704,3.545201034584391e-95,0.0
151,0.00041631565800201486,0.0012236462869675692,0.0
152,0.00048392716580682735,3.2792353737725086e-05,0.0
153,0.0002987401624576794,5.433661731042452e-95,0.0
154,0.0006274813457983617,0.0006602843076419852,0.0015272525587626403
155,0.00043802372514554984,3.747044712785347e-05,0.0
156,0.002863977626505686,0.000650459462946494,0.0010335028513682968
157,0.002332707603917808,0.00044778084675384917,0.0010074212469750163
158,0.0004184221999663437,7.440196002153177e-95,0.0
159,0.00032735658270826684,3.4259518038911625e-05,0.0
160,0.0006324165925976176,0.001827808157117803,0.0
161,0.0005971825689852177,0.00011358876632665801,0.0
162,0.0015678035158813485,3.875551948204697e-94,0.0
163,0.0003284153048449545,3.594349988035135e-95,0.0
164,0.0005881600456897992,1.605938756505076e-94,0.0
165,0.0011531127849438718,8.472839565507942e-06,0.0
166,0.0006557865898336127,0.000698509020895581,0.0004567605411973861
167,0.00035319420549251724,0.0010584678112217061,0.0
168,0.0003257363417420215,3.190777047960012e-95,0.0
169,0.00048712815570307253,0.00042995135602278637,0.014051808653100713
170,0.0003354879601556512,3.3379827603416373e-95,0.0
171,0.000977230693287402,0.00452620896424776,0.016151456421596693
172,0.0003645916564402098,1.5586465931923307e-94,0.0
173,0.0003743911814872203,3.9606883142171704e-05,0.0
174,0.0004036888143658946,0.00025749592134925584,0.0
175,0.0003247912378512468,0.00036928856036044636,0.0
176,0.00034694391507302246,3.991578360031002e-05,0.0
177,0.0003645916564402098,1.5586465931923307e-94,0.0
178,0.00032133626333403787,1.1047773327012992e-94,0.0
179,0.00036140833264204484,3.101595144722424e-95,0.0
180,0.0034766262016130162,0.023963146580438903,0.011559566656497806
181,0.00033274531747681785,3.4721912628887055e-95,0.0
182,0.00039255190419840505,2.117006245843738e-95,0.0
183,0.0003354879601556512,2.4859714420732135e-95,0.0
184,0.00032735658270826684,3.4259518038911625e-05,0.0
185,0.0004658059390386011,0.0003763113938324907,0.015418149816092928
