node,pr,auth,hub
47,0.001146225786278982,0.0012336381428308956,0.0012336381428308951
48,0.0013294159350056777,0.0014144806851509324,0.001414480685150932
49,0.0006094354126410185,0.000617384545545861,0.0006173845455458609
50,0.00041795617774170615,0.0003878190312880463,0.0003878190312880462
51,0.0008957266993012299,0.0009529204763095955,0.0009529204763095952
52,0.0009363214076618417,0.0009970900979994165,0.000997090097999416
53,0.0005149421779834977,0.00047953314726756596,0.0004795331472675658
54,0.0001946518367244675,0.00010559219714743012,0.00010559219714743011
55,0.0006245667698480079,0.0006552473742685045,0.0006552473742685043
56,0.0001294103066147301,3.803134700530293e-05,3.8031347005302926e-05
57,0.00035491609821850905,0.0002986360693903276,0.0002986360693903275
59,0.0005078623277748029,0.0004751244451127727,0.00047512444511277254
60,0.0006167704994436012,0.0006114654055471341,0.0006114654055471339
61,0.0012222103220755416,0.0013242873808356958,0.0013242873808356958
62,0.0010722765438008048,0.0011224396517562883,0.0011224396517562879
63,0.001864435527109997,0.0018688213958993113,0.001868821395899311
66,0.0009615166057272977,0.0010108552841222296,0.0010108552841222294
67,0.0010240479330212073,0.0010826044549542598,0.0010826044549542594
68,0.0010807201188080156,0.0011386450117596178,0.0011386450117596173
69,0.0017753863757952904,0.001761644861103755,0.001761644861103755
70,0.0005454564725126444,0.0005469286604377361,0.000546928660437736
71,0.0007823043377828788,0.0008214728215208904,0.0008214728215208903
72,0.00098830020400289,0.0010699861832804412,0.001069986183280441
73,0.0008433248167876472,0.000944798358569688,0.0009447983585696879
74,0.0007034690698669027,0.0007336772492523591,0.000733677249252359
75,0.00022864932458896412,0.00014723754451009452,0.0001472375445100945
76,0.0004418827135431937,0.00043702067741228126,0.0004370206774122813
78,0.0013469127587048954,0.0014298591248540669,0.0014298591248540664
79,0.00017283368180865527,7.661857324618677e-05,7.661857324618674e-05
80,0.0013442582387643244,0.001437865478098769,0.0014378654780987689
81,0.0010679628427538903,0.0010941202995396987,0.0010941202995396982
82,0.0003117104604081463,0.0002557773360134293,0.00025577733601342927
83,0.0009902716305302955,0.0010418727642938174,0.0010418727642938174
84,0.00014283729311496122,5.629596889021009e-05,5.629596889021008e-05
85,0.0017344819302356712,0.0017230898996778345,0.0017230898996778343
86,0.0010169812222955447,0.0010676036175443725,0.0010676036175443723
87,0.0021342118523208064,0.0021099502700857556,0.002109950270085755
88,0.0002958958046724867,0.00021897149264115773,0.00021897149264115765
89,0.0011127872466548418,0.0011954329076473704,0.00119543290764737
90,0.00042350590307747583,0.000399583339862725,0.0003995833398627249
91,0.00021710843490684698,0.0001323435496797371,0.00013234354967973707
92,0.0004113607818193853,0.00041983713277815457,0.0004198371327781544
93,0.0007460609826198678,0.0007685455866840173,0.0007685455866840172
94,0.0006876596647094227,0.0007179931245560839,0.0007179931245560836
95,0.0006653378825953956,0.0006611181446986833,0.0006611181446986831
96,0.00022005966478353948,0.00014451975570451117,0.00014451975570451114
97,0.000596498026041229,0.0005969959532977242,0.0005969959532977241
98,0.0005091111679270575,0.00046714691095844327,0.0004671469109584431
99,0.0002594472721398026,0.00019183834054027022,0.0001918383405402702
100,0.0008221787611612904,0.0008393442207256015,0.0008393442207256012
101,0.0008841139601564109,0.0009610920344478558,0.0009610920344478554
102,0.0005580529753134916,0.0005543621726293607,0.0005543621726293604
103,0.000638646886939386,0.0006353697059993832,0.0006353697059993832
104,0.0012624545061893197,0.0013856561027156037,0.0013856561027156035
105,0.0001625170806987542,6.871387496799487e-05,6.871387496799484e-05
106,0.0007692043189907364,0.0008270728439777244,0.0008270728439777241
107,0.0012557501662092071,0.0014038785387850195,0.001403878538785019
108,0.0005362143610830796,0.0005177740530774045,0.0005177740530774043
109,0.0005900458742946679,0.0006030234707174407,0.0006030234707174405
110,0.00026996227380642003,0.0002104387663664673,0.00021043876636646721
111,0.000245499560595738,0.0001872637139096948,0.00018726371390969475
112,0.0012306335251351466,0.0012850706504535568,0.001285070650453557
114,0.0003935687183064116,0.00041322519869478174,0.00041322519869478163
115,0.00022202176019086767,0.0001706953397805203,0.00017069533978052024
116,0.0007869949704026983,0.0008510941176289905,0.0008510941176289904
117,0.0015277768859008427,0.0015576756697641989,0.0015576756697641989
118,0.0005975266766896069,0.0005711600025407639,0.0005711600025407639
119,0.0012259761909029039,0.0012902215534037241,0.001290221553403724
120,0.0007080361189190671,0.0007394209454299625,0.0007394209454299623
121,0.0006622492465138451,0.0006348797557921156,0.0006348797557921155
122,0.00013266900331622503,3.3579112267112393e-05,3.357911226711238e-05
123,0.00122261349021776,0.001246234606862514,0.0012462346068625137
124,0.0011952100900032715,0.0012634746298540512,0.001263474629854051
125,0.0009261695900759987,0.0009589576265032994,0.0009589576265032991
126,0.0008321847653180556,0.0009215853040249182,0.000921585304024918
127,0.001610425043898061,0.0016444201261392333,0.0016444201261392331
128,0.0008018771208334773,0.0008788100160349111,0.000878810016034911
129,0.0006768519506587909,0.0006763945843671499,0.0006763945843671496
130,0.000576537220233645,0.0005951230753290828,0.0005951230753290826
132,0.001666496023065736,0.0016861938590354026,0.0016861938590354024
133,0.0004914439006036262,0.000460975850048547,0.00046097585004854693
134,0.00030386115251316805,0.00023912431715248522,0.00023912431715248514
135,0.0007334815576148289,0.0007766173762299354,0.0007766173762299355
136,0.00031013188269254276,0.00023565544667614213,0.000235655446676142
137,0.0014348905549733612,0.0015163347375415429,0.0015163347375415424
138,0.0008262533143224662,0.0008685132546477958,0.0008685132546477957
139,0.0008856143445562821,0.0009133307489164686,0.0009133307489164683
140,0.001203585371784304,0.0012437074270580976,0.0012437074270580974
142,0.0013389264544963744,0.0014180515514567655,0.001418051551456765
143,0.0005756330327374462,0.0006040723168734035,0.0006040723168734035
144,0.0007341933451610176,0.0007764912275744733,0.000776491227574473
